filename,chroma_stft_mean,spectral_centroid_mean,spectral_bandwidth_mean,rolloff_mean,zero_crossing_rate_mean,label,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,original_wav
90_-15_2.4__1-chunk_0000.wav,0.31107485,1605.7308466825853,1627.2441573846254,3082.184392755682,0.07831365411931818,NO_drone,-667.05286,59.385574,129.73448,32.873928,-25.186895,34.014706,45.246983,19.481138,-15.4377985,27.388096,-45.405483,24.535236,-24.16422,14.817755,-6.7600875,7.1719956,-20.288681,11.446233,-6.900983,8.655552,-15.679932,11.314107,-12.74108,10.117922,2.9670832,5.9116807,90_-15_2.4__1.wav
90_-15_2.4__1-chunk_0001.wav,0.46954575,4168.391540662305,1929.8817352107121,5939.93408203125,0.3380859375,NO_drone,-741.9938,28.812654,14.819928,15.881936,-0.4761978,5.0027704,74.07674,15.223387,-59.94532,11.483384,16.70578,3.6585126,-6.9268637,7.366818,6.168355,3.9050257,2.7957447,3.3409016,1.1990626,5.305289,2.865416,4.7554617,0.7825209,3.2197332,6.912474,4.1610503,90_-15_2.4__1.wav
75_-30_2.4__8-chunk_0000.wav,0.24647129,1782.7281381281966,1887.012596285023,3821.1647727272725,0.07648259943181818,NO_drone,-644.0829,58.183876,106.659134,31.630497,-10.881183,25.650455,39.02927,28.463686,-49.359154,16.412062,-2.5681016,13.134059,-21.473816,9.538239,-8.62983,15.761472,-1.7687039,13.851864,-8.398255,9.324433,-6.795898,8.2410755,-2.9364305,5.636974,-15.340946,7.340517,75_-30_2.4__8.wav
75_-30_2.4__8-chunk_0001.wav,0.4059257,2690.959322755161,2188.7030416248126,4868.0419921875,0.1864071800595238,NO_drone,-700.48584,74.37156,86.29657,36.155018,2.6703622,16.55201,32.177322,21.837978,-51.438965,28.363354,10.033777,12.02103,-10.783797,12.642157,-8.806325,13.050008,6.8097115,12.359866,1.3199263,6.3794265,1.6472753,7.6342483,1.050548,3.843083,-7.031391,9.371315,75_-30_2.4__8.wav
45_0_2.4__8-chunk_0000.wav,0.27935603,2233.9701213660537,2234.6596619437087,4863.322864879261,0.10384854403409091,NO_drone,-643.10034,64.65811,94.0572,33.54364,5.982352,24.889736,25.425917,25.81816,-53.787155,17.667528,17.455126,11.662998,-40.323845,12.66935,1.2763385,15.6261015,-9.402213,13.717359,-2.577391,8.953509,-16.841684,10.281404,-8.716608,5.553864,-3.5124605,6.3974123,45_0_2.4__8.wav
45_0_2.4__8-chunk_0001.wav,0.3728565,3132.3204319257648,2281.9431687672272,5568.2171630859375,0.2418212890625,NO_drone,-679.49677,64.771255,78.74929,41.869274,17.130602,14.9693985,21.323715,18.849552,-62.29598,21.404774,26.812603,11.184614,-30.726467,13.579946,0.8087162,11.774438,-1.2531793,11.336025,3.0645146,6.0611014,-8.536128,7.129397,-7.0762024,4.6021237,3.8372486,9.037063,45_0_2.4__8.wav
90_-15_1.2__4-chunk_0000.wav,0.37744018,2007.1621950869803,1600.5324453566266,3315.1344992897725,0.1263760653409091,NO_drone,-679.22845,64.74938,110.82919,66.43615,-24.876326,27.919544,44.276535,43.699448,-15.859278,28.509733,-27.925226,25.407534,-17.599245,14.305635,3.9835386,12.973711,-9.004717,10.988036,-6.9569874,10.156311,-8.136336,9.321198,-11.346589,11.4611635,2.0591128,10.198488,90_-15_1.2__4.wav
90_-15_1.2__4-chunk_0001.wav,0.3558271,1411.977164658153,1606.7560116500329,2464.95361328125,0.0671115451388889,NO_drone,-682.76154,66.85799,142.76561,29.913221,-9.601982,43.947563,20.294233,20.500195,-24.78594,16.710426,-37.252148,21.991684,-28.065859,13.256481,2.5088224,8.284538,-6.9315715,5.7837067,-2.779763,10.813012,-3.8309839,10.191042,-3.7655122,4.9613085,-1.6521922,11.519323,90_-15_1.2__4.wav
45_0_2.4__3-chunk_0000.wav,0.3462922,1779.6875671728244,1889.6037631596819,3495.230379971591,0.09260697798295454,NO_drone,-654.9044,55.730278,136.21527,44.775043,22.348732,24.26805,18.668806,26.170197,-45.56948,23.03751,17.681225,23.130224,-24.804365,12.570874,-13.534766,12.8270035,-12.659281,7.938601,-5.2580624,8.725398,-18.918343,10.501732,-9.176205,12.115294,4.0712576,8.107785,45_0_2.4__3.wav
45_0_2.4__3-chunk_0001.wav,0.44368836,2271.673237145696,2090.5405552032157,4171.160888671875,0.15445963541666666,NO_drone,-708.7883,61.358612,121.314575,59.98124,26.783691,21.689302,13.896947,17.70973,-39.345863,19.391443,2.4561136,21.642202,-24.241922,10.220189,1.4466645,15.9186535,-6.0376067,9.385912,2.7509673,6.4191933,-8.879146,9.169428,-1.8488288,5.6249614,6.2758,7.582984,45_0_2.4__3.wav
